id,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
681925.0,681925.0,3462415,39.47321,-0.38044,2.0,1.0,1.0,1.0,139.0,2.0,10.0,2.0,7.0,10,10,2.2,10.0,2,9,16,223,23.3,10.1,4.0,1.2,4.89,4.89,4.82,4.96,4.96,4.95,4.81,1.0,1.0,0.0,0.0
682219.0,682219.0,219476,39.48678589,-0.375119001,2.0,1.0,1.0,1.0,49.0,5.0,25.0,5.0,4.7,10,333,7.7,31.8,18,48,54,54,68.0,2.0,0.0,0.46,4.48,4.47,4.55,4.85,4.68,4.39,4.48,4.0,4.0,0.0,0.0
688130.0,688130.0,3512981,39.47291,-0.35376,7.0,1.0,1.4,6.0,101.4,11.0,150.0,1.0,11.0,150,150,10.8,150.0,0,18,48,323,81.0,2.0,0.0,0.53,4.79,4.83,4.63,4.8,4.86,4.53,4.7,1.0,1.0,0.0,0.0
716081.0,716081.0,3690047,39.46005,-0.37687,5.0,1.0,3.0,4.0,122.0,3.2,350.0,1.9,4.7,350,350,4.0,350.0,8,21,21,31,30.0,1.0,0.0,0.25,4.57,4.72,4.67,4.9,4.87,4.97,4.66,4.0,4.0,0.0,0.0
720307.0,720307.0,3717753,39.47573,-0.38542,2.0,1.0,1.0,1.0,58.0,2.0,300.0,2.0,2.0,300,300,2.0,300.0,3,4,6,88,23.3,32.0,3.0,2.29,4.45,4.64,4.5,4.87,4.85,4.86,4.44,1.0,1.0,0.0,0.0
724380.0,724380.0,3744401,39.47436,-0.3809,4.0,1.0,2.0,2.0,90.0,11.0,365.0,1.9,11.0,1125,1125,11.0,1125.0,5,35,65,201,23.3,12.0,0.0,1.31,4.59,4.7,4.4,4.87,4.87,4.94,4.51,2.0,2.0,0.0,0.0
760857.0,760857.0,372326,39.47305,-0.38039,4.0,1.0,1.0,2.0,134.0,3.2,242.2,1.9,4.7,1125,1125,4.0,1125.0,1,2,2,143,23.3,13.0,1.0,1.23,4.92,4.94,4.86,4.89,4.9,4.94,4.86,2.0,2.0,0.0,0.0
772380.0,772380.0,4075514,39.47391,-0.37675,2.0,1.0,1.0,1.0,100.0,3.0,10.0,2.0,4.7,1125,1125,3.4,1125.0,0,7,8,140,23.3,10.1,5.0,2.42,4.93,4.93,4.92,4.97,4.99,4.95,4.89,6.0,6.0,0.0,0.0
776819.0,776819.0,4096931,39.47784,-0.38039,4.0,1.0,0.0,2.0,82.0,3.0,90.0,3.0,11.0,1125,1125,10.9,1125.0,11,32,62,334,23.3,29.0,2.0,2.95,4.76,4.84,4.73,4.85,4.79,4.95,4.75,8.0,8.0,0.0,0.0
782942.0,782942.0,4075514,39.47384,-0.37677,2.0,1.0,1.0,1.0,100.0,3.0,10.0,2.0,5.0,1125,1125,3.3,1125.0,0,0,2,154,23.3,10.1,5.0,2.4,4.92,4.94,4.93,4.96,4.97,4.94,4.86,6.0,6.0,0.0,0.0
852911.0,852911.0,3813918,39.45832,-0.37453,4.0,1.0,1.0,2.0,104.0,3.2,19.0,1.9,18.0,19,19,4.0,19.0,15,39,63,134,20.0,0.0,0.0,0.15,4.85,4.89,4.65,4.89,4.89,4.95,4.83,1.0,0.0,1.0,0.0
